trace,frames,algorithm,page_faults,disk_reads,disk_writes
bzip.trace,4,clock,111442,37740,0.1114
bzip.trace,8,clock,46164,17568,0.0462
bzip.trace,16,clock,3468,1128,0.0035
bzip.trace,32,clock,2203,734,0.0022
bzip.trace,64,clock,1318,443,0.0013
bzip.trace,128,clock,802,235,0.0008
bzip.trace,256,clock,432,71,0.0004
bzip.trace,512,clock,317,0,0.0003
bzip.trace,1024,clock,317,0,0.0003
gcc.trace,4,clock,276968,51481,0.2770
gcc.trace,8,clock,181856,29401,0.1819
gcc.trace,16,clock,121682,16376,0.1217
gcc.trace,32,clock,87686,12293,0.0877
gcc.trace,64,clock,61640,9346,0.0616
gcc.trace,128,clock,43017,6671,0.0430
gcc.trace,256,clock,26789,4528,0.0268
gcc.trace,512,clock,11472,2398,0.0115
gcc.trace,1024,clock,4765,1086,0.0048
sixpack.trace,4,clock,329368,88943,0.3294
sixpack.trace,8,clock,191760,40261,0.1918
sixpack.trace,16,clock,115206,20951,0.1152
sixpack.trace,32,clock,70849,14432,0.0708
sixpack.trace,64,clock,41949,9947,0.0419
sixpack.trace,128,clock,23229,7226,0.0232
sixpack.trace,256,clock,11876,4319,0.0119
sixpack.trace,512,clock,6119,2587,0.0061
sixpack.trace,1024,clock,4618,1937,0.0046
swim.trace,4,clock,380682,57213,0.3807
swim.trace,8,clock,293519,54327,0.2935
swim.trace,16,clock,191848,48350,0.1918
swim.trace,32,clock,53025,11140,0.0530
swim.trace,64,clock,22611,5844,0.0226
swim.trace,128,clock,15275,4371,0.0153
swim.trace,256,clock,5980,1973,0.0060
swim.trace,512,clock,3795,1218,0.0038
swim.trace,1024,clock,2901,809,0.0029
