trace,frames,algorithm,page_faults,disk_reads,disk_writes
bzip.trace,4,lru,92770,35650,0.0928
bzip.trace,8,lru,30691,11092,0.0307
bzip.trace,16,lru,3344,1069,0.0033
bzip.trace,32,lru,2133,702,0.0021
bzip.trace,64,lru,1264,420,0.0013
bzip.trace,128,lru,771,224,0.0008
bzip.trace,256,lru,397,48,0.0004
bzip.trace,512,lru,317,0,0.0003
bzip.trace,1024,lru,317,0,0.0003
gcc.trace,4,lru,243809,43187,0.2438
gcc.trace,8,lru,171186,23983,0.1712
gcc.trace,16,lru,116604,14749,0.1166
gcc.trace,32,lru,84401,11737,0.0844
gcc.trace,64,lru,59089,8863,0.0591
gcc.trace,128,lru,40821,6131,0.0408
gcc.trace,256,lru,25308,4231,0.0253
gcc.trace,512,lru,10425,2173,0.0104
gcc.trace,1024,lru,4391,955,0.0044
sixpack.trace,4,lru,282620,71260,0.2826
sixpack.trace,8,lru,176496,32717,0.1765
sixpack.trace,16,lru,108682,19342,0.1087
sixpack.trace,32,lru,67747,13730,0.0677
sixpack.trace,64,lru,41186,9672,0.0412
sixpack.trace,128,lru,21090,6526,0.0211
sixpack.trace,256,lru,11240,4092,0.0112
sixpack.trace,512,lru,5823,2444,0.0058
sixpack.trace,1024,lru,4468,1846,0.0045
swim.trace,4,lru,346936,56045,0.3469
swim.trace,8,lru,285375,53614,0.2854
swim.trace,16,lru,171961,46293,0.1720
swim.trace,32,lru,48254,9674,0.0483
swim.trace,64,lru,21656,5687,0.0217
swim.trace,128,lru,13250,3812,0.0132
swim.trace,256,lru,5673,1866,0.0057
swim.trace,512,lru,3632,1159,0.0036
swim.trace,1024,lru,2803,789,0.0028
